season,tau_规则1_vs_规则3_排名vs粉丝,p_value_规则1_vs_规则3,tau_规则2_vs_规则3_百分比vs粉丝,p_value_规则2_vs_规则3,tau_规则1_vs_规则2_排名vs百分比,p_value_规则1_vs_规则2,更倾向于粉丝投票的规则,tau差异绝对值,平均tau_与粉丝投票,选手数量
24,0.09376144618769908,0.6774248597164698,-0.406299600146696,0.07145440648058253,0.27692307692307694,0.2149360131124276,规则1_排名相加,0.5000610463343951,-0.1562690769794985,12
25,-0.09801960588196068,0.6571599758091446,-0.29405881764588204,0.18302030066779829,0.6799999999999998,0.0016099581911995361,规则1_排名相加,0.19603921176392136,-0.19603921176392136,13
26,0.16666666666666669,0.5651399880422409,-0.39999999999999997,0.1674213718028198,0.43333333333333335,0.13476268754889864,规则1_排名相加,0.5666666666666667,-0.11666666666666664,10
27,0.014291548761875737,0.948975984686745,0.10004084133313017,0.6541897285177187,0.43055555555555564,0.05076427708699504,规则2_百分比相加,0.08574929257125444,0.05716619504750295,13
28,0.09376144618769908,0.6774248597164698,0.07813453848974923,0.7288544672542199,0.4000000000000001,0.07325079376761233,规则1_排名相加,0.015626907697949846,0.08594799233872416,12
29,0.4537046982524804,0.024675325180643252,-0.0309344112444873,0.8782666511279491,-0.1313131313131313,0.5110969954684841,规则1_排名相加,0.4846391094969677,0.21138514350399654,15
30,0.06315789473684212,0.7570281568376749,-0.12631578947368424,0.5360669829141045,0.26315789473684215,0.1973608802659378,规则1_排名相加,0.18947368421052635,-0.03157894736842106,15
31,0.1142857142857143,0.5668362547505135,0.1904761904761905,0.33981618682292547,0.5523809523809524,0.005637850029895426,规则2_百分比相加,0.0761904761904762,0.1523809523809524,16
32,0.4046851288050202,0.050953272287748284,0.44705882352941184,0.032752274844791894,0.8209326898616125,7.510243878910339e-05,规则2_百分比相加,0.04237369472439162,0.42587197616721606,14
33,-0.09166984970282112,0.6898455508763939,-0.11878277418329973,0.6002162488529952,0.7431605356175384,0.0008759000574836786,规则1_排名相加,0.027112924480478612,-0.10522631194306042,13
34,0.4700159919404217,0.026527856104284566,-0.0829113896938485,0.6926705956408477,0.24281107728301216,0.24154899359140336,规则1_排名相加,0.5529273816342702,0.1935523011232866,14
