season,week,index,celebrity_name,v_predicted_share,judge_avg_score
3,Week_2,21,Emmitt Smith,0.10243017273737616,8.0
3,Week_2,22,Shanna Moakler,0.09445340960764333,7.333333333333333
3,Week_2,23,Willa Ford,0.12619298695568884,7.666666666666667
3,Week_2,24,Sara Evans,0.18944776330849444,7.0
3,Week_2,25,Jerry Springer,0.06441090200667698,6.333333333333333
3,Week_3,16,Harry Hamlin,0.055960640392976234,7.333333333333333
3,Week_3,17,Vivica A. Fox,0.09721727232362737,9.0
3,Week_3,18,Monique Coleman,0.08902909468044,9.0
3,Week_3,19,Joey Lawrence,0.08257804480178445,7.333333333333333
3,Week_3,20,Mario Lopez,0.049088799104270574,7.333333333333333
3,Week_3,21,Emmitt Smith,0.1473709722664225,6.333333333333333
3,Week_3,23,Willa Ford,0.13612266466310935,7.333333333333333
3,Week_3,24,Sara Evans,0.08049969457099893,8.333333333333334
3,Week_3,25,Jerry Springer,0.2621328171963707,7.0
3,Week_4,17,Vivica A. Fox,0.07681047020195987,8.0
3,Week_4,18,Monique Coleman,0.20927488633736138,8.0
3,Week_4,19,Joey Lawrence,0.0979448246860035,9.0
3,Week_4,20,Mario Lopez,0.08711121283884934,9.666666666666666
3,Week_4,21,Emmitt Smith,0.07977354762635551,8.0
3,Week_4,23,Willa Ford,0.23808877636496387,9.333333333333334
3,Week_4,24,Sara Evans,0.09784088328861318,6.666666666666667
3,Week_4,25,Jerry Springer,0.11315539865589326,7.333333333333333
3,Week_5,18,Monique Coleman,0.08207708164159642,9.0
3,Week_5,19,Joey Lawrence,0.10922249014349368,8.333333333333334
3,Week_5,20,Mario Lopez,0.16531222030622875,9.0
3,Week_5,21,Emmitt Smith,0.1382755211029332,9.0
3,Week_5,23,Willa Ford,0.21361133222507145,9.0
3,Week_5,24,Sara Evans,0.20009627702035176,8.0
3,Week_5,25,Jerry Springer,0.09140507756032466,8.0
3,Week_6,18,Monique Coleman,0.16778379669730056,7.666666666666667
3,Week_6,19,Joey Lawrence,0.18451147839510773,8.0
3,Week_6,20,Mario Lopez,0.1972163861656744,9.333333333333334
3,Week_6,21,Emmitt Smith,0.17729739629978142,8.333333333333334
3,Week_6,25,Jerry Springer,0.27319094244213576,6.0
3,Week_7,18,Monique Coleman,0.18969735179802963,9.0
3,Week_7,19,Joey Lawrence,0.18349490036689092,9.5
3,Week_7,20,Mario Lopez,0.24626872144606846,9.333333333333334
3,Week_7,21,Emmitt Smith,0.22607699984113613,9.5
3,Week_7,25,Jerry Springer,0.15446202654787491,7.666666666666667
3,Week_8,18,Monique Coleman,0.2675917826820883,8.833333333333334
3,Week_8,19,Joey Lawrence,0.14926476551144138,9.0
3,Week_8,20,Mario Lopez,0.23988401173624802,9.5
3,Week_8,21,Emmitt Smith,0.34325944007022224,9.0
3,Week_9,19,Joey Lawrence,0.21773702317740043,9.833333333333334
3,Week_9,20,Mario Lopez,0.4557709203513395,9.833333333333334
3,Week_9,21,Emmitt Smith,0.3264920564712602,9.833333333333334
3,Week_10,20,Mario Lopez,0.40772675519925805,9.888866666666667
3,Week_10,21,Emmitt Smith,0.5922732448007418,9.888866666666667
4,Week_1,27,John Ratzenberger,0.07088657306161408,5.666666666666667
4,Week_1,28,Ian Ziering,0.05981697233292837,7.0
4,Week_1,29,Clyde Drexler,0.10166061931975334,5.333333333333333
4,Week_1,30,Laila Ali,0.08645601003404056,7.666666666666667
4,Week_1,31,Apolo Anton Ohno,0.07693977537879086,7.0
4,Week_1,32,Shandi Finnessey,0.10194093584459846,6.333333333333333
4,Week_1,33,Paulina Porizkova,0.08410238247199708,6.333333333333333
4,Week_1,34,Heather Mills,0.11564202701037099,6.0
4,Week_1,35,Billy Ray Cyrus,0.16292547946391264,4.333333333333333
4,Week_1,36,Joey Fatone,0.0652801155907077,8.0
4,Week_1,37,Leeza Gibbons,0.07434910949128586,5.0
4,Week_2,27,John Ratzenberger,0.0775998910689343,7.0
4,Week_2,28,Ian Ziering,0.08323965759889235,7.333333333333333
4,Week_2,29,Clyde Drexler,0.09872439595654918,6.0
4,Week_2,30,Laila Ali,0.206570485953973,9.0
4,Week_2,31,Apolo Anton Ohno,0.19955537356093064,8.666666666666666
4,Week_2,32,Shandi Finnessey,0.04161288593937317,6.666666666666667
4,Week_2,33,Paulina Porizkova,0.08082831834944527,7.0
