season,week,celebrity_name,v_predicted_share,ci_lower,ci_upper,ci_std,mu_base,sigma
3,Week_10,Emmitt Smith,0.6066509843182801,0.256166571133976,0.8157514513624997,0.145887800577791,0.1180033324999942,0.4917400827296984
3,Week_2,Harry Hamlin,0.0952978605042621,0.04959778361820843,0.16628032716947083,0.030136473270784097,-0.0498546192600721,0.3207365566143418
3,Week_2,Vivica A. Fox,0.1429672346862814,0.044367998188971726,0.16735846413517302,0.03257681611972843,-0.0712593570561035,0.3493532830713214
3,Week_2,Monique Coleman,0.0596910866479881,0.041493447374400125,0.17924594797208435,0.035068819648069516,-0.1029479361069064,0.3925204548721925
3,Week_2,Joey Lawrence,0.0506095133443278,0.041835488118469065,0.17791902147597033,0.03546704598507855,-0.0922834250043871,0.3810082902255934
3,Week_2,Mario Lopez,0.0684103666665692,0.04308732078560795,0.16949481116654788,0.03297995093994603,-0.0906622273485956,0.3731812834769987
3,Week_2,Emmitt Smith,0.1038334270097225,0.043278887676641446,0.24118018361264434,0.052740323176730705,0.1180033324999942,0.4917400827296984
3,Week_2,Shanna Moakler,0.0937993427133889,0.047213496167000976,0.1779288176971167,0.032815873802226336,-0.0294586588961841,0.3367344419844932
3,Week_2,Willa Ford,0.1197515113255973,0.03636049549439734,0.2291486074715032,0.05096714770317701,-0.0142519474204023,0.5119008224595607
3,Week_2,Sara Evans,0.1933946476225679,0.03952849782901728,0.2184693958235588,0.04512086982877142,0.0068754153704583,0.4819888796010504
3,Week_2,Jerry Springer,0.0722450094792943,0.05250385502874243,0.20025130289575105,0.03624613422707086,0.1045919971666339,0.3381091916881095
3,Week_3,Harry Hamlin,0.0607281330635565,0.05436603206476392,0.18526756389578428,0.034011195106789176,-0.0498546192600721,0.3207365566143418
3,Week_3,Vivica A. Fox,0.0979633955870196,0.0490990475786944,0.1918959816935336,0.03751256550733744,-0.0712593570561035,0.3493532830713214
3,Week_3,Monique Coleman,0.0841304028291749,0.042732685985840554,0.19574846646659333,0.039452143135533635,-0.1029479361069064,0.3925204548721925
3,Week_3,Joey Lawrence,0.083544054924921,0.04328529187617347,0.18260127502393095,0.036551800210559045,-0.0922834250043871,0.3810082902255934
3,Week_3,Mario Lopez,0.0516728611648866,0.04706328464276709,0.19861619072781345,0.03813607123270713,-0.0906622273485956,0.3731812834769987
3,Week_3,Emmitt Smith,0.1475201046059883,0.04677820386632852,0.2696545689179123,0.05643774658158272,0.1180033324999942,0.4917400827296984
3,Week_3,Willa Ford,0.1298379784476492,0.035310930446636975,0.2573301701353855,0.058763492125437196,-0.0142519474204023,0.5119008224595607
3,Week_3,Sara Evans,0.0826463711385753,0.04268876266932413,0.2370658604200379,0.05055557578205784,0.0068754153704583,0.4819888796010504
3,Week_3,Jerry Springer,0.2619566982382282,0.05724511181843873,0.21239400915477816,0.040007640948198954,0.1045919971666339,0.3381091916881095
3,Week_4,Vivica A. Fox,0.0836407849947046,0.05722286055180863,0.2065202856795774,0.03984208071707702,-0.0712593570561035,0.3493532830713214
3,Week_4,Monique Coleman,0.1831565749417665,0.04856345508284796,0.20540055064103183,0.0408464180433332,-0.1029479361069064,0.3925204548721925
3,Week_4,Joey Lawrence,0.0994519469796241,0.05045776276302999,0.21591889131394892,0.04340812414936062,-0.0922834250043871,0.3810082902255934
3,Week_4,Mario Lopez,0.0901922043814116,0.05278366170476204,0.2143163896448716,0.04140432114603699,-0.0906622273485956,0.3731812834769987
3,Week_4,Emmitt Smith,0.0860102073231145,0.05340786315879337,0.29133226175722926,0.06237588838221628,0.1180033324999942,0.4917400827296984
3,Week_4,Willa Ford,0.2273047897444849,0.04578700460112071,0.28620660381925755,0.05985773517130707,-0.0142519474204023,0.5119008224595607
3,Week_4,Sara Evans,0.1021318277076044,0.04520764281794356,0.2567198487533315,0.05557457951582416,0.0068754153704583,0.4819888796010504
3,Week_4,Jerry Springer,0.1281116639272892,0.0700222356273339,0.23497476998863245,0.04354108082436465,0.1045919971666339,0.3381091916881095
3,Week_5,Monique Coleman,0.0814701031233014,0.05299423974564193,0.23781917377784048,0.05102427183687719,-0.1029479361069064,0.3925204548721925
3,Week_5,Joey Lawrence,0.1136138391626943,0.05556319053496174,0.24414518446345587,0.04959632148499298,-0.0922834250043871,0.3810082902255934
3,Week_5,Mario Lopez,0.150030739134959,0.05661074967315444,0.24742432295932176,0.04883723532244665,-0.0906622273485956,0.3731812834769987
3,Week_5,Emmitt Smith,0.1419740320611108,0.061781402058515074,0.3225188708321683,0.06772662400617721,0.1180033324999942,0.4917400827296984
3,Week_5,Willa Ford,0.2016860519559355,0.05060858045779566,0.31328754893822924,0.06710841104677868,-0.0142519474204023,0.5119008224595607
3,Week_5,Sara Evans,0.2081556557138425,0.057387253814831986,0.3070317390248947,0.06777261498645112,0.0068754153704583,0.4819888796010504
3,Week_5,Jerry Springer,0.1030695788481563,0.07701145557139959,0.25988850251956536,0.04838844865280428,0.1045919971666339,0.3381091916881095
3,Week_6,Monique Coleman,0.1548493841649403,0.07967696607755154,0.3273392142317356,0.06316365124495243,-0.1029479361069064,0.3925204548721925
3,Week_6,Joey Lawrence,0.19363298311462,0.0782832162014446,0.3501788671512239,0.06737550218254863,-0.0922834250043871,0.3810082902255934
3,Week_6,Mario Lopez,0.1826751623304573,0.08183868532644728,0.3333796038204386,0.06364586614402497,-0.0906622273485956,0.3731812834769987
3,Week_6,Emmitt Smith,0.1823541241416626,0.09441696395925399,0.4582565382749074,0.09123701990681667,0.1180033324999942,0.4917400827296984
3,Week_6,Jerry Springer,0.2864883462483196,0.11070746886640587,0.36562955264519403,0.0655690670850352,0.1045919971666339,0.3381091916881095
3,Week_7,Monique Coleman,0.1807422964961598,0.07820482654197727,0.3160743031526697,0.06056651013832111,-0.1029479361069064,0.3925204548721925
3,Week_7,Joey Lawrence,0.1846224222250278,0.08745071405776902,0.3345025273482765,0.06498054702732563,-0.0922834250043871,0.3810082902255934
3,Week_7,Mario Lopez,0.2298666943959122,0.08750138977323575,0.32408030068447125,0.0634636906436398,-0.0906622273485956,0.3731812834769987
3,Week_7,Emmitt Smith,0.2308456787334244,0.0984078941622699,0.4380213542530129,0.08984843867219941,0.1180033324999942,0.4917400827296984
3,Week_7,Jerry Springer,0.1739229081494755,0.10627054469233688,0.3645461346462353,0.06628713553832262,0.1045919971666339,0.3381091916881095
