celebrity_name,season,year,wikipedia_title,wikipedia_url,total_pageviews,total_edits,status,Unnamed: 8
Jerry Springer,3,2006,Jerry Springer,https://en.wikipedia.org/wiki/Jerry_Springer,0,431,Success,
Tucker Carlson,3,2006,Tucker Carlson,https://en.wikipedia.org/wiki/Tucker_Carlson,0,999,Success,
John Ratzenberger,4,2007,John Ratzenberger,https://en.wikipedia.org/wiki/John_Ratzenberger,0,359,Success,
Ian Ziering,4,2007,Ian Ziering,https://en.wikipedia.org/wiki/Ian_Ziering,0,145,Success,
Clyde Drexler,4,2007,Clyde Drexler,https://en.wikipedia.org/wiki/Clyde_Drexler,0,236,Success,
Laila Ali,4,2007,Laila Ali,https://en.wikipedia.org/wiki/Laila_Ali,0,277,Success,
Apolo Anton Ohno,4,2007,Karina Smirnoff,https://en.wikipedia.org/wiki/Karina_Smirnoff,0,218,Success,
Shandi Finnessey,4,2007,Shandi Finnessey,https://en.wikipedia.org/wiki/Shandi_Finnessey,0,295,Success,
Paulina Porizkova,4,2007,Paulina Porizkova,https://en.wikipedia.org/wiki/Paulina_Porizkova,0,330,Success,
Heather Mills,4,2007,Heather Mills,https://en.wikipedia.org/wiki/Heather_Mills,0,1087,Success,
Billy Ray Cyrus,4,2007,Billy Ray Cyrus,https://en.wikipedia.org/wiki/Billy_Ray_Cyrus,0,2199,Success,
Joey Fatone,4,2007,Joey Fatone,https://en.wikipedia.org/wiki/Joey_Fatone,0,452,Success,
Leeza Gibbons,4,2007,Leeza Gibbons,https://en.wikipedia.org/wiki/Leeza_Gibbons,0,93,Success,
Cameron Mathison,5,2007,Cameron Mathison,https://en.wikipedia.org/wiki/Cameron_Mathison,0,94,Success,
Jane Seymour,5,2007,Jane Seymour,https://en.wikipedia.org/wiki/Jane_Seymour,0,416,Success,
Sabrina Bryan,5,2007,Sabrina Bryan,https://en.wikipedia.org/wiki/Sabrina_Bryan,0,801,Success,
Jennie Garth,5,2007,Jennie Garth,https://en.wikipedia.org/wiki/Jennie_Garth,0,279,Success,
Floyd Mayweather Jr. ,5,2007,Floyd Mayweather Jr.,https://en.wikipedia.org/wiki/Floyd_Mayweather_Jr.,0,1603,Success,
Josie Maran,5,2007,Josie Maran,https://en.wikipedia.org/wiki/Josie_Maran,0,461,Success,
Albert Reed,5,2007,Albert Reed (model),https://en.wikipedia.org/wiki/Albert_Reed_(model),0,49,Success,
Helio Castroneves,5,2007,2002 Indy Racing League,https://en.wikipedia.org/wiki/2002_Indy_Racing_League,0,30,Success,
Mel B,5,2007,Mel B,https://en.wikipedia.org/wiki/Mel_B,0,1039,Success,
Wayne Newton,5,2007,Wayne Newton,https://en.wikipedia.org/wiki/Wayne_Newton,0,333,Success,
Marie Osmond,5,2007,Marie Osmond,https://en.wikipedia.org/wiki/Marie_Osmond,0,558,Success,
Mark Cuban,5,2007,Mark Cuban,https://en.wikipedia.org/wiki/Mark_Cuban,0,1405,Success,
Cristian de la Fuente,6,2008,Cristián_de_la_Fuente,https://en.wikipedia.org/wiki/Cristi%C3%A1n_de_la_Fuente,0,173,Success,
Steve Guttenberg,6,2008,Steve Guttenberg,https://en.wikipedia.org/wiki/Steve_Guttenberg,0,662,Success,
Priscilla Presley,6,2008,Priscilla Presley,https://en.wikipedia.org/wiki/Priscilla_Presley,0,634,Success,
Marlee Matlin,6,2008,Marlee Matlin,https://en.wikipedia.org/wiki/Marlee_Matlin,0,417,Success,
Shannon Elizabeth,6,2008,Shannon Elizabeth,https://en.wikipedia.org/wiki/Shannon_Elizabeth,0,780,Success,
Marissa Jaret Winokur,6,2008,Marissa Jaret Winokur,https://en.wikipedia.org/wiki/Marissa_Jaret_Winokur,0,223,Success,
Jason Taylor,6,2008,Jason Taylor (American football),https://en.wikipedia.org/wiki/Jason_Taylor_(American_football),0,650,Success,
Kristi Yamaguchi,6,2008,Kristi Yamaguchi,https://en.wikipedia.org/wiki/Kristi_Yamaguchi,0,643,Success,
Monica Seles,6,2008,Monica Seles,https://en.wikipedia.org/wiki/Monica_Seles,0,1026,Success,
Penn Jillette,6,2008,Penn Jillette,https://en.wikipedia.org/wiki/Penn_Jillette,0,729,Success,
Adam Carolla,6,2008,Adam Carolla,https://en.wikipedia.org/wiki/Adam_Carolla,0,1307,Success,
Mario,6,2008,Mario_(American_singer),https://en.wikipedia.org/wiki/Mario_(American_singer),0,1804,Success,
Ted McGinley,7,2008,Ted McGinley,https://en.wikipedia.org/wiki/Ted_McGinley,0,237,Success,
Cloris Leachman,7,2008,Cloris Leachman,https://en.wikipedia.org/wiki/Cloris_Leachman,0,555,Success,
Susan Lucci,7,2008,Susan Lucci,https://en.wikipedia.org/wiki/Susan_Lucci,0,438,Success,
Cody Linley,7,2008,Cody Linley,https://en.wikipedia.org/wiki/Cody_Linley,0,1832,Success,
Misty May-Treanor,7,2008,Misty May-Treanor,https://en.wikipedia.org/wiki/Misty_May-Treanor,0,661,Success,
Maurice Greene,7,2008,Maurice_Greene_(sprinter),https://en.wikipedia.org/wiki/Maurice_Greene_(sprinter),0,349,Success,
Warren Sapp,7,2008,Warren Sapp,https://en.wikipedia.org/wiki/Warren_Sapp,0,732,Success,
Jeffrey Ross,7,2008,Jeffrey_Ross_Gunter,https://en.wikipedia.org/wiki/Jeffrey_Ross_Gunter,0,0,Success,
Toni Braxton,7,2008,Toni Braxton,https://en.wikipedia.org/wiki/Toni_Braxton,0,1944,Success,
Lance Bass,7,2008,Lance Bass,https://en.wikipedia.org/wiki/Lance_Bass,0,2675,Success,
Kim Kardashian,7,2008,Kim Kardashian,https://en.wikipedia.org/wiki/Kim_Kardashian,0,2719,Success,
Rocco DiSpirito,7,2008,Rocco DiSpirito,https://en.wikipedia.org/wiki/Rocco_DiSpirito,0,140,Success,
Brooke Burke,7,2008,Brooke Burke,https://en.wikipedia.org/wiki/Brooke_Burke,0,754,Success,
Gilles Marini,8,2009,Gilles Marini,https://en.wikipedia.org/wiki/Gilles_Marini,0,128,Success,
Denise Richards,8,2009,Denise Richards,https://en.wikipedia.org/wiki/Denise_Richards,0,1215,Success,
David Alan Grier,8,2009,David Alan Grier,https://en.wikipedia.org/wiki/David_Alan_Grier,0,419,Success,
Lawrence Taylor,8,2009,Lawrence Taylor,https://en.wikipedia.org/wiki/Lawrence_Taylor,0,1911,Success,
Ty Murray,8,2009,Ty Murray,https://en.wikipedia.org/wiki/Ty_Murray,0,243,Success,
Shawn Johnson,8,2009,Shawn Johnson East,https://en.wikipedia.org/wiki/Shawn_Johnson_East,0,1293,Success,
Steve Wozniak,8,2009,Steve Wozniak,https://en.wikipedia.org/wiki/Steve_Wozniak,0,2458,Success,
Belinda Carlisle,8,2009,Belinda Carlisle,https://en.wikipedia.org/wiki/Belinda_Carlisle,0,1185,Success,
Chuck Wicks,8,2009,Chuck Wicks,https://en.wikipedia.org/wiki/Chuck_Wicks,0,425,Success,
Lil' Kim,8,2009,Lil' Kim,https://en.wikipedia.org/wiki/Lil%27_Kim,0,4336,Success,
Steve-O,8,2009,Steve-O,https://en.wikipedia.org/wiki/Steve-O,0,1684,Success,
Holly Madison,8,2009,Holly Madison,https://en.wikipedia.org/wiki/Holly_Madison,0,1205,Success,
Melissa Rycroft,8,2009,Melissa Rycroft,https://en.wikipedia.org/wiki/Melissa_Rycroft,0,381,Success,
Ashley Hamiliton,9,2009,Ashley_Hamilton,https://en.wikipedia.org/wiki/Ashley_Hamilton,0,69,Success,
Debi Mazar,9,2009,Debi Mazar,https://en.wikipedia.org/wiki/Debi_Mazar,0,264,Success,
Melissa Joan Hart,9,2009,Melissa Joan Hart,https://en.wikipedia.org/wiki/Melissa_Joan_Hart,0,1220,Success,
Mark Dacascos,9,2009,Mark Dacascos,https://en.wikipedia.org/wiki/Mark_Dacascos,0,302,Success,
Chuck Liddell,9,2009,Chuck Liddell,https://en.wikipedia.org/wiki/Chuck_Liddell,0,3603,Success,
Natalie Coughlin,9,2009,Natalie Coughlin,https://en.wikipedia.org/wiki/Natalie_Coughlin,0,213,Success,
Louie Vito,9,2009,Louie Vito,https://en.wikipedia.org/wiki/Louie_Vito,0,146,Success,
Michael Irvin,9,2009,Michael Irvin,https://en.wikipedia.org/wiki/Michael_Irvin,0,1154,Success,
Joanna Krupa,9,2009,Joanna Krupa,https://en.wikipedia.org/wiki/Joanna_Krupa,0,615,Success,
Kathy Ireland,9,2009,Kathy Ireland,https://en.wikipedia.org/wiki/Kathy_Ireland,0,466,Success,
Tom DeLay,9,2009,Tom DeLay,https://en.wikipedia.org/wiki/Tom_DeLay,0,3207,Success,
Macy Gray,9,2009,Macy Gray,https://en.wikipedia.org/wiki/Macy_Gray,0,822,Success,
Aaron Carter,9,2009,Aaron Carter,https://en.wikipedia.org/wiki/Aaron_Carter,0,2433,Success,
Mya,9,2009,Mya (singer),https://en.wikipedia.org/wiki/Mya_(singer),0,4259,Success,
Donny Osmond,9,2009,Donny Osmond,https://en.wikipedia.org/wiki/Donny_Osmond,0,982,Success,
Kelly Osbourne,9,2009,Kelly Osbourne,https://en.wikipedia.org/wiki/Kelly_Osbourne,0,1342,Success,
Aiden Turner,10,2010,Aiden Turner,https://en.wikipedia.org/wiki/Aiden_Turner,0,167,Success,
Shannen Doherty,10,2010,Shannen Doherty,https://en.wikipedia.org/wiki/Shannen_Doherty,0,1768,Success,
Niecy Nash,10,2010,Niecy Nash,https://en.wikipedia.org/wiki/Niecy_Nash,0,325,Success,
Buzz Aldrin,10,2010,Buzz Aldrin,https://en.wikipedia.org/wiki/Buzz_Aldrin,0,1964,Success,
Chad Ochocinco,10,2010,Chad_Johnson,https://en.wikipedia.org/wiki/Chad_Johnson,0,3251,Success,
Evan Lysacek,10,2010,Evan Lysacek,https://en.wikipedia.org/wiki/Evan_Lysacek,0,1279,Success,
Pamela Anderson,10,2010,Pamela Anderson,https://en.wikipedia.org/wiki/Pamela_Anderson,0,5171,Success,
Nicole Scherzinger,10,2010,Nicole Scherzinger,https://en.wikipedia.org/wiki/Nicole_Scherzinger,0,7063,Success,
Erin Andrews,10,2010,Erin Andrews,https://en.wikipedia.org/wiki/Erin_Andrews,0,1318,Success,
Kate Gosselin,10,2010,Kate Gosselin,https://en.wikipedia.org/wiki/Kate_Gosselin,0,1530,Success,
Jake Pavelka,10,2010,Jake Pavelka,https://en.wikipedia.org/wiki/Jake_Pavelka,0,70,Success,
David Hasselhoff,11,2010,David Hasselhoff,https://en.wikipedia.org/wiki/David_Hasselhoff,0,4679,Success,
Florence Henderson,11,2010,Florence Henderson,https://en.wikipedia.org/wiki/Florence_Henderson,0,436,Success,
