celebrity_name,season,year,wikipedia_title,wikipedia_url,total_pageviews,total_edits,status,Unnamed: 8
Chaka Khan,21,2015,Chaka Khan,https://en.wikipedia.org/wiki/Chaka_Khan,508082,1761,Success,
Andy Grammer,21,2015,Andy Grammer,https://en.wikipedia.org/wiki/Andy_Grammer,775284,802,Success,
Tamar Braxton,21,2015,Tamar Braxton,https://en.wikipedia.org/wiki/Tamar_Braxton,828412,1847,Success,
Nick Carter,21,2015,Nick Carter,https://en.wikipedia.org/wiki/Nick_Carter,25902,3039,Success,
Hayes Grier,21,2015,Hayes Grier,https://en.wikipedia.org/wiki/Hayes_Grier,384198,147,Success,
Bindi Irwin,21,2015,Bindi Irwin,https://en.wikipedia.org/wiki/Bindi_Irwin,1561823,2156,Success,
Kim Zolciak-Biermann,21,2015,Kim Zolciak,https://en.wikipedia.org/wiki/Kim_Zolciak,1242975,1411,Success,
Paula Deen,21,2015,Paula Deen,https://en.wikipedia.org/wiki/Paula_Deen,416444,2128,Success,
Mischa Barton,22,2016,Mischa Barton,https://en.wikipedia.org/wiki/Mischa_Barton,1763736,3309,Success,
Kim Fields,22,2016,Kim Fields,https://en.wikipedia.org/wiki/Kim_Fields,1417823,494,Success,
Jodie Sweetin,22,2016,Jodie Sweetin,https://en.wikipedia.org/wiki/Jodie_Sweetin,4574790,1449,Success,
Doug Flutie,22,2016,Doug Flutie,https://en.wikipedia.org/wiki/Doug_Flutie,1503008,1603,Success,
Von Miller,22,2016,Von Miller,https://en.wikipedia.org/wiki/Von_Miller,2365234,1400,Success,
Antonio Brown,22,2016,Antonio Brown,https://en.wikipedia.org/wiki/Antonio_Brown,1925484,1423,Success,
Paige VanZant,22,2016,Paige VanZant,https://en.wikipedia.org/wiki/Paige_VanZant,2125788,389,Success,
Geraldo Rivera,22,2016,Geraldo Rivera,https://en.wikipedia.org/wiki/Geraldo_Rivera,1252260,2384,Success,
Nyle DiMarco,22,2016,Nyle DiMarco,https://en.wikipedia.org/wiki/Nyle_DiMarco,2029702,471,Success,
Ginger Zee,22,2016,Ginger Zee,https://en.wikipedia.org/wiki/Ginger_Zee,963171,251,Success,
Wanya Morris,22,2016,Wanya Morris,https://en.wikipedia.org/wiki/Wanya_Morris,476173,197,Success,
Marla Maples,22,2016,Marla Maples,https://en.wikipedia.org/wiki/Marla_Maples,9481148,687,Success,
Jake T. Austin,23,2016,Jake T. Austin,https://en.wikipedia.org/wiki/Jake_T._Austin,1670226,4160,Success,
Maureen McCormick,23,2016,Maureen McCormick,https://en.wikipedia.org/wiki/Maureen_McCormick,2122152,1132,Success,
Marilu Henner,23,2016,Marilu Henner,https://en.wikipedia.org/wiki/Marilu_Henner,1156233,666,Success,
Ryan Lochte,23,2016,Ryan Lochte,https://en.wikipedia.org/wiki/Ryan_Lochte,3136723,1979,Success,
Calvin Johnson Jr.,23,2016,Calvin Johnson,https://en.wikipedia.org/wiki/Calvin_Johnson,1986082,3294,Success,
Laurie Hernandez,23,2016,Laurie Hernandez,https://en.wikipedia.org/wiki/Laurie_Hernandez,1590395,357,Success,
Amber Rose,23,2016,Amber Rose,https://en.wikipedia.org/wiki/Amber_Rose,6361156,2165,Success,
Rick Perry,23,2016,Rick Perry,https://en.wikipedia.org/wiki/Rick_Perry,1193544,5363,Success,
James Hinchcliffe,23,2016,James Hinchcliffe,https://en.wikipedia.org/wiki/James_Hinchcliffe,566746,397,Success,
Babyface,23,2016,Babyface (musician),https://en.wikipedia.org/wiki/Babyface_(musician),1060942,1229,Success,
Vanilla Ice,23,2016,Vanilla Ice,https://en.wikipedia.org/wiki/Vanilla_Ice,2008799,3672,Success,
Jana Kramer,23,2016,Jana Kramer,https://en.wikipedia.org/wiki/Jana_Kramer,2165404,966,Success,
Terra Jole,23,2016,Dancing with the Stars (American TV series),https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_TV_series),0,9391,Success,
Charo,24,2017,Charo,https://en.wikipedia.org/wiki/Charo,2708486,1295,Success,
Mr. T,24,2017,Mr. T and Tina,https://en.wikipedia.org/wiki/Mr._T_and_Tina,72855,67,Success,
Heather Morris,24,2017,Heather Morris,https://en.wikipedia.org/wiki/Heather_Morris,1155297,1252,Success,
Nancy Kerrigan,24,2017,Nancy Kerrigan,https://en.wikipedia.org/wiki/Nancy_Kerrigan,3398530,999,Success,
Bonner Bolton,24,2017,Bonner Bolton,https://en.wikipedia.org/wiki/Bonner_Bolton,373210,55,Success,
Simone Biles,24,2017,Simone Biles,https://en.wikipedia.org/wiki/Simone_Biles,5994602,1586,Success,
David Ross,24,2017,David Ross (baseball),https://en.wikipedia.org/wiki/David_Ross_(baseball),1854925,834,Success,
Rashad Jennings,24,2017,Rashad Jennings,https://en.wikipedia.org/wiki/Rashad_Jennings,1088475,334,Success,
Chris Kattan,24,2017,Chris Kattan,https://en.wikipedia.org/wiki/Chris_Kattan,1439631,822,Success,
Erika Jayne,24,2017,Erika Jayne,https://en.wikipedia.org/wiki/Erika_Jayne,2804510,593,Success,
Normani,24,2017,Normani,https://en.wikipedia.org/wiki/Normani,2112,481,Success,
Nick Viall,24,2017,Nick Viall,https://en.wikipedia.org/wiki/Nick_Viall,248256,88,Success,
Sasha Pieterse,25,2017,Sasha Pieterse,https://en.wikipedia.org/wiki/Sasha_Pieterse,3013180,1978,Success,
Frankie Muniz,25,2017,Frankie Muniz,https://en.wikipedia.org/wiki/Frankie_Muniz,4019337,4068,Success,
Jordan Fisher,25,2017,Jordan Fisher,https://en.wikipedia.org/wiki/Jordan_Fisher,1606476,279,Success,
Derek Fisher,25,2017,Derek Fisher,https://en.wikipedia.org/wiki/Derek_Fisher,1466528,2438,Success,
Nikki Bella,25,2017,Nikki Bella,https://en.wikipedia.org/wiki/Nikki_Bella,4847406,1259,Success,
Terrell Owens,25,2017,Terrell Owens,https://en.wikipedia.org/wiki/Terrell_Owens,2758639,8398,Success,
Victoria Arlen,25,2017,Victoria Arlen,https://en.wikipedia.org/wiki/Victoria_Arlen,736161,84,Success,
Barbara Corcoran,25,2017,Barbara_Corcoran,https://en.wikipedia.org/wiki/Barbara_Corcoran,2278009,311,Success,
Lindsey Stirling,25,2017,Lindsey Stirling,https://en.wikipedia.org/wiki/Lindsey_Stirling,3208895,2391,Success,
Debbie Gibson,25,2017,Debbie Gibson,https://en.wikipedia.org/wiki/Debbie_Gibson,1700404,2011,Success,
Nick Lachey,25,2017,Nick Lachey,https://en.wikipedia.org/wiki/Nick_Lachey,2258892,2704,Success,
Drew Scott,25,2017,Drew Scott,https://en.wikipedia.org/wiki/Drew_Scott,1495065,569,Success,
Vanessa Lachey,25,2017,Vanessa Lachey,https://en.wikipedia.org/wiki/Vanessa_Lachey,1636204,1656,Success,
Jamie Anderson,26,2018,Jamie Anderson (snowboarder),https://en.wikipedia.org/wiki/Jamie_Anderson_(snowboarder),416929,266,Success,
Johnny Damon,26,2018,Johnny Damon,https://en.wikipedia.org/wiki/Johnny_Damon,1045001,3394,Success,
Kareem Abdul-Jabbar,26,2018,Kareem Abdul-Jabbar,https://en.wikipedia.org/wiki/Kareem_Abdul-Jabbar,9663765,4050,Success,
Arike Ogunbowale,26,2018,Arike Ogunbowale,https://en.wikipedia.org/wiki/Arike_Ogunbowale,51692,35,Success,
Jennie Finch Daigle,26,2018,Jennie Finch,https://en.wikipedia.org/wiki/Jennie_Finch,891822,1619,Success,
Chris Mazdzer,26,2018,Chris Mazdzer,https://en.wikipedia.org/wiki/Chris_Mazdzer,204332,96,Success,
Mirai Nagasu,26,2018,Mirai Nagasu,https://en.wikipedia.org/wiki/Mirai_Nagasu,987172,1664,Success,
Tonya Harding,26,2018,Tonya Harding,https://en.wikipedia.org/wiki/Tonya_Harding,16007499,3720,Success,
Josh Norman,26,2018,Josh Norman,https://en.wikipedia.org/wiki/Josh_Norman,462546,1073,Success,
Adam Rippon,26,2018,Adam Rippon,https://en.wikipedia.org/wiki/Adam_Rippon,1565722,1018,Success,
Juan Pablo Di Pace,27,2018,Juan Pablo Di Pace,https://en.wikipedia.org/wiki/Juan_Pablo_Di_Pace,1311303,289,Success,
Evanna Lynch,27,2018,Evanna Lynch,https://en.wikipedia.org/wiki/Evanna_Lynch,3493789,2569,Success,
Nancy McKeon,27,2018,Nancy McKeon,https://en.wikipedia.org/wiki/Nancy_McKeon,2498437,520,Success,
John Schneider,27,2018,John Schneider (screen actor),https://en.wikipedia.org/wiki/John_Schneider_(screen_actor),2181678,1108,Success,
Milo Manheim,27,2018,Milo Manheim,https://en.wikipedia.org/wiki/Milo_Manheim,929796,246,Success,
Danelle Umstead,27,2018,Danelle Umstead,https://en.wikipedia.org/wiki/Danelle_Umstead,196417,29,Success,
Mary Lou Retton,27,2018,Mary Lou Retton,https://en.wikipedia.org/wiki/Mary_Lou_Retton,1723232,856,Success,
DeMarcus Ware,27,2018,DeMarcus Ware,https://en.wikipedia.org/wiki/DeMarcus_Ware,1546144,1582,Success,
Nikki Glaser,27,2018,Nikki Glaser,https://en.wikipedia.org/wiki/Nikki_Glaser,1740447,352,Success,
Bobby Bones,27,2018,Bobby Bones,https://en.wikipedia.org/wiki/Bobby_Bones,1077734,382,Success,
Tinashe,27,2018,Tinashe,https://en.wikipedia.org/wiki/Tinashe,3741093,2642,Success,
Alexis Ren,27,2018,Alexis Ren,https://en.wikipedia.org/wiki/Alexis_Ren,1450770,311,Success,
Joe Amabile,27,2018,Joe Amabile,https://en.wikipedia.org/wiki/Joe_Amabile,44569,4,Success,？
Kate Flannery,28,2019,Kate Flannery,https://en.wikipedia.org/wiki/Kate_Flannery,1610525,355,Success,
James Van Der Beek,28,2019,James Van Der Beek,https://en.wikipedia.org/wiki/James_Van_Der_Beek,4048356,1340,Success,
Kel Mitchell,28,2019,Kel Mitchell,https://en.wikipedia.org/wiki/Kel_Mitchell,3368982,3383,Success,
Ray Lewis,28,2019,Ray Lewis,https://en.wikipedia.org/wiki/Ray_Lewis,4501813,3341,Success,
Lamar Odom,28,2019,Lamar Odom,https://en.wikipedia.org/wiki/Lamar_Odom,7698662,2278,Success,
Sailor Brinkley-Cook,28,2019,Dancing with the Stars (American TV series),https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_TV_series),777776,11512,Success,
Sean Spicer,28,2019,Sean Spicer,https://en.wikipedia.org/wiki/Sean_Spicer,6040841,1198,Success,
Mary Wilson,28,2019,Mary Wilson (singer),https://en.wikipedia.org/wiki/Mary_Wilson_(singer),1189680,953,Success,
Lauren Alaina,28,2019,Lauren Alaina,https://en.wikipedia.org/wiki/Lauren_Alaina,2069451,2524,Success,
Ally Brooke,28,2019,Ally Brooke,https://en.wikipedia.org/wiki/Ally_Brooke,1556690,857,Success,
Karamo Brown,28,2019,Karamo Brown,https://en.wikipedia.org/wiki/Karamo_Brown,3344522,220,Success,
Hannah Brown,28,2019,Hannah Brown,https://en.wikipedia.org/wiki/Hannah_Brown,892652,155,Success,
Anne Heche,29,2020,Anne Heche,https://en.wikipedia.org/wiki/Anne_Heche,8002928,1529,Success,
Jesse Metcalfe,29,2020,Jesse Metcalfe,https://en.wikipedia.org/wiki/Jesse_Metcalfe,4723656,1557,Success,
Chrishell Stause,29,2020,Chrishell Stause,https://en.wikipedia.org/wiki/Chrishell_Stause,6090442,397,Success,
Skai Jackson,29,2020,Jessie (2011 TV series),https://en.wikipedia.org/wiki/Jessie_(2011_TV_series),2271809,4829,Success,
Justina Machado,29,2020,Justina Machado,https://en.wikipedia.org/wiki/Justina_Machado,2713720,479,Success,
Charles Oakley,29,2020,Charles Oakley,https://en.wikipedia.org/wiki/Charles_Oakley,2270092,643,Success,
Veron Davis,29,2020,The Road from Home,https://en.wikipedia.org/wiki/The_Road_from_Home,19526,51,Success,
Johnny Weir,29,2020,Johnny Weir,https://en.wikipedia.org/wiki/Johnny_Weir,4182347,2376,Success,
Nev Schulman,29,2020,Nev Schulman,https://en.wikipedia.org/wiki/Nev_Schulman,3642965,487,Success,
AJ McLean,29,2020,AJ McLean,https://en.wikipedia.org/wiki/AJ_McLean,2670583,1571,Success,
Nelly,29,2020,Nelly,https://en.wikipedia.org/wiki/Nelly,5993633,5763,Success,
Kaitlyn Bristowe,29,2020,Kaitlyn Bristowe,https://en.wikipedia.org/wiki/Kaitlyn_Bristowe,1993083,250,Success,
Carole Baskin,29,2020,Carole Baskin,https://en.wikipedia.org/wiki/Carole_Baskin,8957891,429,Success,
Monica Aldama,29,2020,Monica Aldama,https://en.wikipedia.org/wiki/Monica_Aldama,410498,57,Success,
Jeannie Mai,29,2020,Jeannie Mai,https://en.wikipedia.org/wiki/Jeannie_Mai,4026474,791,Success,
Martin Kove,30,2021,Martin Kove,https://en.wikipedia.org/wiki/Martin_Kove,3898573,667,Success,
Brian Austin Green,30,2021,Brian Austin Green,https://en.wikipedia.org/wiki/Brian_Austin_Green,11027744,2390,Success,
Melora Hardin,30,2021,Melora Hardin,https://en.wikipedia.org/wiki/Melora_Hardin,6095124,619,Success,
Matt James,30,2021,Matt James (television personality),https://en.wikipedia.org/wiki/Matt_James_(television_personality),681146,117,Success,
"Mike ""The Miz"" Mizanin",30,2021,The Miz,https://en.wikipedia.org/wiki/The_Miz,8605558,13433,Success,
Suni Lee,30,2021,Sunisa_Lee,https://en.wikipedia.org/wiki/Sunisa_Lee,2456822,508,Success,
Iman Shumpert,30,2021,Iman Shumpert,https://en.wikipedia.org/wiki/Iman_Shumpert,5162844,1602,Success,
Cody Rigsby,30,2021,Cody (given name),https://en.wikipedia.org/wiki/Cody_(given_name),103415,141,Success,
Melanie C,30,2021,Melanie C,https://en.wikipedia.org/wiki/Melanie_C,6266965,5408,Success,
Jimmie Allen,30,2021,Jimmie Allen,https://en.wikipedia.org/wiki/Jimmie_Allen,1108567,376,Success,
Olivia Jade,30,2021,Olivia_Jade,https://en.wikipedia.org/wiki/Olivia_Jade,2139709,594,"Error: HTTPSConnectionPool(host='en.wikipedia.org', port=443): Max retries exceeded with url: /w/api.php?list=search&srprop=&srlimit=5&limit=5&srsearch=Olivia+Jade&format=json&action=query (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",
JoJo Siwa,30,2021,JoJo_Siwa,https://en.wikipedia.org/wiki/JoJo_Siwa,15338110,1196,Success,
Christine Chiu,30,2021,Dancing_with_the_Stars_(American_TV_series)_season_30,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_TV_series)_season_30,0,0,Success,none
Kenya Moore,30,2021,Kenya Moore,https://en.wikipedia.org/wiki/Kenya_Moore,2869046,1204,Success,
Amanda Kloots,30,2021,Amanda Kloots,https://en.wikipedia.org/wiki/Amanda_Kloots,1033270,174,Success,
Jason Lewis,31,2022,Jason Lewis (actor),https://en.wikipedia.org/wiki/Jason_Lewis_(actor),2379688,548,Success,
Cheryl Ladd,31,2022,Cheryl Ladd,https://en.wikipedia.org/wiki/Cheryl_Ladd,4932045,799,Success,
Selma Blair,31,2022,Selma Blair,https://en.wikipedia.org/wiki/Selma_Blair,13279078,1826,Success,
Joseph Baena,31,2022,Joseph Baena,https://en.wikipedia.org/wiki/Joseph_Baena,502227,126,Success,
Trevor Donovan,31,2022,Trevor Donovan,https://en.wikipedia.org/wiki/Trevor_Donovan,2173739,572,Success,
Daniel Durant,31,2022,Daniel Durant,https://en.wikipedia.org/wiki/Daniel_Durant,919123,88,Success,
Wayne Brady,31,2022,Wayne Brady,https://en.wikipedia.org/wiki/Wayne_Brady,7827855,2359,Success,
Sam Champion,31,2022,Sam Champion,https://en.wikipedia.org/wiki/Sam_Champion,1228832,645,Success,
Jessie James Decker,31,2022,Jessie James Decker,https://en.wikipedia.org/wiki/Jessie_James_Decker,4523747,1821,Success,
Jordin Sparks,31,2022,Jordin Sparks,https://en.wikipedia.org/wiki/Jordin_Sparks,5610024,7947,Success,
Heidi D'Amelio,31,2022,Dancing with the Stars (American TV series),https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_TV_series),2219664,10253,Success,
Charli D'Amelio,31,2022,Charli D'Amelio,https://en.wikipedia.org/wiki/Charli_D%27Amelio,11941670,1251,Success,
Teresa Giudice,31,2022,Teresa Giudice,https://en.wikipedia.org/wiki/Teresa_Giudice,4260795,819,Success,
Vinny Guadagnino,31,2022,Vinny Guadagnino,https://en.wikipedia.org/wiki/Vinny_Guadagnino,3326054,550,Success,
Shangela,31,2022,Shangela,https://en.wikipedia.org/wiki/Shangela,1163000,868,Success,
Gabby Windey,31,2022,Gabby Windey,https://en.wikipedia.org/wiki/Gabby_Windey,383604,66,Success,
Jamie Lynn Spears,32,2023,Jamie Lynn Spears,https://en.wikipedia.org/wiki/Jamie_Lynn_Spears,14571058,8415,Success,
Mira Sorvino,32,2023,Mira Sorvino,https://en.wikipedia.org/wiki/Mira_Sorvino,11332499,1137,Success,
Barry Williams,32,2023,Barry Williams (actor),https://en.wikipedia.org/wiki/Barry_Williams_(actor),4215517,622,Success,
Alyson Hannigan,32,2023,Alyson Hannigan,https://en.wikipedia.org/wiki/Alyson_Hannigan,13829764,2353,Success,
Xochitl Gomez,32,2023,Xochitl Gomez,https://en.wikipedia.org/wiki/Xochitl_Gomez,4684354,594,Success,
Adrian Peterson,32,2023,Adrian Peterson,https://en.wikipedia.org/wiki/Adrian_Peterson,9626656,7910,Success,
Matt Walsh,32,2023,Matt Walsh (political commentator),https://en.wikipedia.org/wiki/Matt_Walsh_(political_commentator),2941830,2534,Success,
Tyson Beckford,32,2023,Tyson Beckford,https://en.wikipedia.org/wiki/Tyson_Beckford,2708126,1237,Success,
Jason Mraz,32,2023,Jason Mraz,https://en.wikipedia.org/wiki/Jason_Mraz,3356729,4349,Success,
Lele Pons,32,2023,Lele Pons,https://en.wikipedia.org/wiki/Lele_Pons,7017184,3277,Success,
Harry Jowsey,32,2023,Harry Jowsey,https://en.wikipedia.org/wiki/Harry_Jowsey,87252,2,Success,
Mauricio Umansky,32,2023,Mauricio Umansky,https://en.wikipedia.org/wiki/Mauricio_Umansky,607072,31,Success,
Charity Lawson,32,2023,Joey Graziadei,https://en.wikipedia.org/wiki/Joey_Graziadei,35960,19,Success,
Ariana Madix,32,2023,Ariana Madix,https://en.wikipedia.org/wiki/Ariana_Madix,1411390,341,Success,
Tori Spelling,33,2024,Tori Spelling,https://en.wikipedia.org/wiki/Tori_Spelling,9335859,2280,Success,
Eric Roberts,33,2024,Eric Roberts,https://en.wikipedia.org/wiki/Eric_Roberts,16694612,1849,Success,
Reginald VelJohnson,33,2024,Reginald VelJohnson,https://en.wikipedia.org/wiki/Reginald_VelJohnson,5513659,1472,Success,
Chandler Kinney,33,2024,Chandler Kinney,https://en.wikipedia.org/wiki/Chandler_Kinney,0,62,Success,
Dwight Howard ,33,2024,Dwight Howard,https://en.wikipedia.org/wiki/Dwight_Howard,15773500,4565,Success,
Danny Amendola,33,2024,Danny Amendola,https://en.wikipedia.org/wiki/Danny_Amendola,6931269,1824,Success,
Stephen Nedoroscik,33,2024,Stephen Nedoroscik,https://en.wikipedia.org/wiki/Stephen_Nedoroscik,1362723,368,Success,
Ilona Maher,33,2024,Ilona Maher,https://en.wikipedia.org/wiki/Ilona_Maher,2855783,217,Success,
Anna Delvey,33,2024,Anna Delvey,https://en.wikipedia.org/wiki/Anna_Delvey,2047323,1551,Success,
Brooks Nader,33,2024,Brooks Nader,https://en.wikipedia.org/wiki/Brooks_Nader,726152,83,Success,
Phaedra Parks,33,2024,Phaedra Parks,https://en.wikipedia.org/wiki/Phaedra_Parks,1239419,225,Success,
Jenn Tran,33,2024,Jenn Tran,https://en.wikipedia.org/wiki/Jenn_Tran,503683,45,Success,
Joey Graziadei,33,2024,Joey Graziadei,https://en.wikipedia.org/wiki/Joey_Graziadei,996713,99,Success,
Corey Feldman,34,2025,Corey Feldman,https://en.wikipedia.org/wiki/Corey_Feldman,20796521,3402,Success,
Danielle Fishel,34,2025,Danielle Fishel,https://en.wikipedia.org/wiki/Danielle_Fishel,8968026,1952,Success,
Elaine Hendrix,34,2025,Elaine Hendrix,https://en.wikipedia.org/wiki/Elaine_Hendrix,4863926,602,Success,
Baron Davis,34,2025,Baron Davis,https://en.wikipedia.org/wiki/Baron_Davis,3439142,2696,Success,
Jordan Chiles,34,2025,Jordan Chiles,https://en.wikipedia.org/wiki/Jordan_Chiles,3014532,681,Success,
Andy Richter,34,2025,Andy Richter,https://en.wikipedia.org/wiki/Andy_Richter,4659901,1188,Success,
Robert Irwin,34,2025,Robert Irwin (conservationist),https://en.wikipedia.org/wiki/Robert_Irwin_(conservationist),665623,939,Success,
Hilaria Baldwin,34,2025,Hilaria Baldwin,https://en.wikipedia.org/wiki/Hilaria_Baldwin,9481777,991,Success,
Lauren Jauregui,34,2025,Lauren Jauregui,https://en.wikipedia.org/wiki/Lauren_Jauregui,5220654,2069,Success,
Scott Hoying,34,2025,Scott Hoying,https://en.wikipedia.org/wiki/Scott_Hoying,1941034,353,Success,
Alix Earle,34,2025,Alix Earle,https://en.wikipedia.org/wiki/Alix_Earle,4371756,325,Success,
Jen Affleck,34,2025,Jan Ravnik,https://en.wikipedia.org/wiki/Jan_Ravnik,77361,29,Success,
Whitney Leavitt,34,2025,Whitney Leavitt,https://en.wikipedia.org/wiki/Whitney_Leavitt,128658,35,Success,
Dylan Efron,34,2025,Dylan Efron,https://en.wikipedia.org/wiki/Dylan_Efron,1414174,84,Success,
