season,week,celebrity_name,v_predicted_share,ci_lower,ci_upper,ci_std,mu_base,sigma
2,Week_3,George Hamilton,0.1045791564431681,0.07399029231395696,0.18651717187675282,0.02938034233774027,0.0035408922976824,0.2432827111598484
2,Week_3,Lisa Rinna,0.1342430189539379,0.0670763583001852,0.1984707248368509,0.03296261939542131,-0.0079621285612694,0.2835811175753629
2,Week_3,Stacy Keibler,0.1457917722129614,0.048774322893124854,0.2743650684607272,0.058290532205935566,0.0040913953142948,0.4893281897521356
2,Week_3,Jerry Rice,0.1211247240896782,0.05351663279063926,0.262979107659385,0.052400057829312355,0.0127856499601082,0.4367133423923282
2,Week_3,Giselle Fernandez,0.1116424129060761,0.06470691347972352,0.23098482449846963,0.042551457039654565,0.0232630673871132,0.3404626876718594
2,Week_3,Master P,0.1011755598299787,0.07379605999501207,0.1844430734708399,0.02809064992720185,-0.0101233930503452,0.2279523876783306
2,Week_3,Drew Lachey,0.0751962984221262,0.06992123114601638,0.18683523689858744,0.02921534556888665,-0.0126357179566773,0.2360407079718404
2,Week_4,Tia Carrere,0.160663789740511,0.07822298715320403,0.22394889889280672,0.03805097774164561,-0.0094152230006293,0.2891084733129763
2,Week_4,George Hamilton,0.0621859822913078,0.08159139332232031,0.21565115178192312,0.033756432757714006,0.0035408922976824,0.2432827111598484
2,Week_4,Lisa Rinna,0.1574834446282339,0.07782587573754676,0.23172131312020347,0.03974770674649389,-0.0079621285612694,0.2835811175753629
2,Week_4,Stacy Keibler,0.2158342684195826,0.06077991855854483,0.2847913149373021,0.05994383475580838,0.0040913953142948,0.4893281897521356
2,Week_4,Jerry Rice,0.0886261095251102,0.06632378384309055,0.2734260910500976,0.055979201005851346,0.0127856499601082,0.4367133423923282
2,Week_4,Master P,0.154611236233876,0.0881058564311779,0.219456834689333,0.033262739077022055,-0.0101233930503452,0.2279523876783306
2,Week_4,Drew Lachey,0.1605951691613783,0.08141545981398816,0.21005762051835125,0.03270590010103599,-0.0126357179566773,0.2360407079718404
2,Week_5,Tia Carrere,0.2062697006715843,0.08751444662324791,0.27513463487924816,0.04726637803042726,-0.0094152230006293,0.2891084733129763
2,Week_5,George Hamilton,0.1524654423033571,0.10137958072997003,0.2408589740065684,0.037293307175561924,0.0035408922976824,0.2432827111598484
2,Week_5,Lisa Rinna,0.185474914971534,0.09158454217512418,0.2620080578493674,0.04554102475260165,-0.0079621285612694,0.2835811175753629
2,Week_5,Stacy Keibler,0.1876753081962569,0.06566398839871969,0.3322461861403356,0.0691238660775226,0.0040913953142948,0.4893281897521356
2,Week_5,Jerry Rice,0.1204985361964063,0.07261370630396818,0.32484509968260616,0.06510095543700119,0.0127856499601082,0.4367133423923282
2,Week_5,Drew Lachey,0.1476160976608611,0.09359453838739455,0.24760762474633669,0.04034317553026276,-0.0126357179566773,0.2360407079718404
2,Week_6,George Hamilton,0.2230873337987342,0.11600356293188677,0.3061717866663037,0.04997376327972708,0.0035408922976824,0.2432827111598484
2,Week_6,Lisa Rinna,0.1615647588459403,0.10392416014075939,0.3100009596893894,0.05338209212139283,-0.0079621285612694,0.2835811175753629
2,Week_6,Stacy Keibler,0.2376178093859883,0.08479615022406754,0.4011744652680447,0.08211086892756342,0.0040913953142948,0.4893281897521356
2,Week_6,Jerry Rice,0.2003786675940359,0.08789733128303794,0.3695641513175108,0.07529800946327146,0.0127856499601082,0.4367133423923282
2,Week_6,Drew Lachey,0.1773514303753013,0.1135188017095378,0.29061345892181467,0.04570757767934294,-0.0126357179566773,0.2360407079718404
2,Week_7,Lisa Rinna,0.2390099607759339,0.13347932665964543,0.3880661621239839,0.06628279197537584,-0.0079621285612694,0.2835811175753629
2,Week_7,Stacy Keibler,0.2767199629487191,0.09588509231319904,0.4820164646722526,0.09842499269199773,0.0040913953142948,0.4893281897521356
2,Week_7,Jerry Rice,0.2438018136208155,0.113982847958722,0.43655171164538703,0.08627195742467464,0.0127856499601082,0.4367133423923282
2,Week_7,Drew Lachey,0.2404682626545315,0.140225704694769,0.3719691126907176,0.0581948975602351,-0.0126357179566773,0.2360407079718404
2,Week_8,Stacy Keibler,0.4155139745785873,0.1264858489363259,0.5752140853402405,0.11586737758512645,0.0040913953142948,0.4893281897521356
2,Week_8,Jerry Rice,0.2780846128259452,0.15139860989484755,0.6000601486360909,0.11191240168621347,0.0127856499601082,0.4367133423923282
2,Week_8,Drew Lachey,0.3064014125954674,0.17507542979482624,0.5125859324606373,0.08973507301128424,-0.0126357179566773,0.2360407079718404
3,Week_1,Harry Hamlin,0.0746325240029485,0.05121766181401104,0.1424362963765575,0.023714265738807513,-0.0021941614511523,0.2626191628038881
