season,week,celebrity_name,v_predicted_share,judge_avg_score,mu_base,sigma,sampled_val
8,Week_8,Chuck Wicks,0.13567286717399396,8.5,-0.012779209473239095,0.23636254318236505,-0.19472576613900866
8,Week_8,Lil' Kim,0.17371795595412573,9.333333333333334,-0.012566214619592576,0.2337303675274867,0.05246067541868807
8,Week_8,Melissa Rycroft,0.1860695020612497,7.666666666666667,0.014495790701706477,0.3824471797943276,0.12114790505872984
8,Week_9,Gilles Marini,0.21719148921540116,9.333333333333334,-0.012272198108798567,0.3003480997729965,0.2643479453947587
8,Week_9,Ty Murray,0.052942813088194575,7.666666666666667,0.011057365157410518,0.4472103631953602,-1.1472191251277604
8,Week_9,Shawn Johnson,0.21559759997104652,9.333333333333334,-5.024550660221046e-06,0.5172097977774329,0.25698224930702224
8,Week_9,Lil' Kim,0.23000365308609225,8.666666666666666,-0.012566214619592576,0.2337303675274867,0.3216637339739217
8,Week_9,Melissa Rycroft,0.2842644446392654,9.5,0.014495790701706477,0.3824471797943276,0.5334734902062493
8,Week_10,Gilles Marini,0.3431660156531044,10.0,-0.012272198108798567,0.3003480997729965,0.24585722220447906
8,Week_10,Ty Murray,0.2734815151130631,8.0,0.011057365157410518,0.4472103631953602,0.018876914637531654
8,Week_10,Shawn Johnson,0.2552972172004511,9.333333333333334,-5.024550660221046e-06,0.5172097977774329,-0.04992869444424839
8,Week_10,Melissa Rycroft,0.12805525203338142,9.166666666666666,0.014495790701706477,0.3824471797943276,-0.7398952912229994
8,Week_11,Gilles Marini,0.3528484786037223,9.666666666666666,-0.012272198108798567,0.3003480997729965,-0.2501300633094976
8,Week_11,Shawn Johnson,0.38076194456268925,10.0,-5.024550660221046e-06,0.5172097977774329,-0.17399442658420317
8,Week_11,Melissa Rycroft,0.2663895768335885,9.5,0.014495790701706477,0.3824471797943276,-0.5312089771096403
9,Week_1,Ashley Hamiliton,0.04242221217498967,6.3333,-0.011769037700872877,0.298368433252441,-0.5489070446235178
9,Week_1,Debi Mazar,0.05952760407344124,7.333333333333333,-0.006584644732904402,0.2783592195506458,-0.21013900276512357
9,Week_1,Melissa Joan Hart,0.04431251368021213,8.0,-0.012809408261177954,0.30188413716940715,-0.5053120287264272
9,Week_1,Mark Dacascos,0.06999924165225192,9.6666,-0.006602000962843464,0.278405099328816,-0.04809473328859751
9,Week_1,Chuck Liddell,0.03572506991352123,7.333333333333333,0.009227174556049619,0.45505028856350793,-0.720726460934502
9,Week_1,Natalie Coughlin,0.08377902994371851,8.999933333333333,0.005323452355374231,0.4827500409433884,0.1316035950978343
9,Week_1,Louie Vito,0.05149176616449636,8.999933333333333,0.0024790176120156244,0.5014581247674598,-0.355157227153584
9,Week_1,Michael Irvin,0.05006902359704298,6.333333333333333,0.012521005070170593,0.4378121718378061,-0.3831766163463831
9,Week_1,Joanna Krupa,0.06889833100871214,11.3333,-0.031071959705043534,0.12298580736142159,-0.06394718739968375
9,Week_1,Kathy Ireland,0.06788288488230387,6.666633333333333,-0.023336275593001502,0.11096890611908046,-0.07879520253777496
9,Week_1,Tom DeLay,0.07754609870569104,6.666633333333333,0.008131990501936956,0.22935003007052593,0.05429343979171246
9,Week_1,Macy Gray,0.06938167099068408,6.3333,-0.006748880813111836,0.21794593549289853,-0.056956415872066284
9,Week_1,Aaron Carter,0.06869515390428786,10.666633333333332,-0.0176797652699368,0.2512836981840905,-0.06690048496646958
9,Week_1,Mya,0.06311239783104641,10.3333,-0.01491476491392357,0.2412045442120484,-0.15166191239493002
9,Week_1,Donny Osmond,0.06258638160013498,9.999966666666666,-0.002520445449917946,0.2059386431646771,-0.16003143362431835
9,Week_1,Kelly Osbourne,0.08457061987746556,10.333266666666667,0.013049773652764904,0.3891605052873007,0.14100778178326082
9,Week_2,Debi Mazar,0.05531740428911667,7.0,-0.006584644732904402,0.2783592195506458,-0.1313559683490999
9,Week_2,Melissa Joan Hart,0.031125121125189958,6.333333333333333,-0.012809408261177954,0.30188413716940715,-0.7064283059510352
9,Week_2,Mark Dacascos,0.05741208073032188,7.0,-0.006602000962843464,0.278405099328816,-0.09418880543492746
9,Week_2,Chuck Liddell,0.053778076883370704,6.333333333333333,0.009227174556049619,0.45505028856350793,-0.15957766105489762
9,Week_2,Natalie Coughlin,0.09480926259003239,7.0,0.005323452355374231,0.4827500409433884,0.407423558833201
9,Week_2,Louie Vito,0.13470300064098206,6.333333333333333,0.0024790176120156244,0.5014581247674598,0.7586288073410103
9,Week_2,Michael Irvin,0.18967349480062748,6.666666666666667,0.012521005070170593,0.4378121718378061,1.1008605932158044
9,Week_2,Joanna Krupa,0.0569267538767198,6.666666666666667,-0.031071959705043534,0.12298580736142159,-0.10267813051863604
9,Week_2,Kathy Ireland,0.0670203781083755,6.0,-0.023336275593001502,0.11096890611908046,0.06055317171703946
9,Week_2,Tom DeLay,0.07531538768609251,6.0,0.008131990501936956,0.22935003007052593,0.1772409133691084
9,Week_2,Aaron Carter,0.0392872206266983,9.0,-0.0176797652699368,0.2512836981840905,-0.4735442611994798
9,Week_2,Mya,0.038314493480166426,9.0,-0.01491476491392357,0.2412045442120484,-0.4986153078491476
9,Week_2,Donny Osmond,0.04082831080860445,8.333333333333334,-0.002520445449917946,0.2059386431646771,-0.43506781915483117
9,Week_2,Kelly Osbourne,0.06548901435370212,6.333333333333333,0.013049773652764904,0.3891605052873007,0.03743885648315922
